teks,topik_tag
ada suara cemara deret bukit bukit biru seru lagu gugus mega lolok hias kencana taufiq ismail suasana gambar penggal puisi damai riuh sunyi indah sejuk tenang sepi damai,['penggalan_suasana_dalam_puisi']
adik minggu rawat indra kena rawan demam darah kalimat indra sabar memang adik sakit biaya,['kalimat_tanya']
akrab kenal makan konsumsi khusus awar sehat jepang bahan dasar aalah ejnsin rumput laut kkhusus hasil merupajan makan kaya kandung serat makan rumput laut jenis serat makan serat laut serat larut rendah kalori sekian jenis makan kaya kandung serat makan capai gr gr saran dasar simpul karya ilmiah jaga sehat menginsumsi agr kaya kandung serat tubuh makan kaya kandung serat capai gr gr masyarakat jepang gemar makan kaya kandung gizi kaya kadung serat rumput laut bahan bahan kosmetik kandung gizi,"['kamus_kecil', 'karya_ilmiah', 'kata_bercetak_miring', 'paragraf', 'simpulan', 'simpulan_paragraf']"
ambil puan merinda pandan jawa roboh tuan bawa adinda badan nyawa lengkap teks puisi irama larik serah punya ragu,"['larik', 'majas', 'penggalan_puisi', 'puisi']"
andi salah ramah yatim bakti setia ibu libur ajak ali arsad camping hutan lindung beraengkat andi dadak sakit keras rencana matang teman ajak berangkat duli andi andi bingung naskah drama ilustrasi ali bersemanagat gimana an ayo berangkat andi maaf al ibu sakit dadak tunduk arsad ala lu pikirin sembuh ali iya an rencana matang andi bingung gimana arsad semangat gimana an ayo berangkat andi maar ar ragu tunduk ali an kau ubah pikir berangkat andi ibu sakit dadak tunggu arsad tunda berangkat andi aduh gimana sepakat bingung andi al ibu sakit gimana rencana ali rencana matang berangkat arsad an kompak andi ibu bujuk rela arsad gitu sepakat arsad antusias al gimana siap ali tinggal cabut aja arsad gimana an andi ibu sakit berangkat ali hidup trio singa satu tangan,"['drama', 'naskah_drama']"
andrea hirata seman said harun lahir belitung oktober andrea hirata empat pasang seman said harunayahdan n masturah lahir desa miskin letak pelosok belitung tinggal desa batas memperngaruhi pribadi andrea dar aku keperihatinan andrea tumbuh hal kampung batas andrea periang ruah pikir timba ilmu kerap milik impi mimpi mimpi depan cerita novel laskar pelangi andrea sekolah kondisi bangun enas roboh semangat nama sd muhamadiyah aku andrea prihatin istimewa tokoh motivasi ajar minim sarana andrea sekolah sd muhammadiyah andrea lahir desa miskin pelosok andrea seman said harunayah n masturah,['cerita']
angkat istilah angkat pujangga angkat balai pustaka angkat chairil anwar angkat pelopor,['teks_diskusi']
anita tuti hadir resepsi nikah rani kantor anita dorong ayo duluan tuti duluan anita jabat tangan tuti terima kasih nit ucap selamat anita selamat bangun rani selamat bahtera hidup rani selamat tempuh hidup rani selamat melaksanaka nikah rani,['ucapan']
artikel jalan moderator jalan tugas tugas tertib nyata tugas moderator diskusi kilas tata tertib diskusi aporan skuas lengkap diskusi atur jalan diskusi,['diskusi']
astaga dewo seru heran mas dewo tertawa dandan wulan longo gimana oke samar akting suruh jemput wul awas pikir asyik samar latih akting mas dewo kaka sepupu wulan kuliah institut seni jurus teater mas dewo jahat lihat nih wulan lutut luka maaf sebernarnya tolong lari kalimat suasana kesal tokoh kutip cerpen tanda dengannomor,"['cerpen', 'kutipan_cerpen', 'penokohan', 'tokoh_cerpen']"
baca paragraf saksama jenis penyu lindung undang undang nasional internasional punah samping penyu belimbing spesies penyu kemp s ridley penyu sisik klasifikasi ancam punah the internasional union for conservation of nature iucn penyu hijau chelonia mydas penyu lekang abu abu lepidochelys olivacea penyu tempayan loggerhead carreta carreta golong ancam punah penyu pipih natator depressus ancam rangkum baca jenis penyu lindung undang undang ancam punah penyu ancam punah penyu belimbing kemp s ridley penyu sisik penyu hijau penyu lekang penyu tempayan penyu ancam punah penyu pipih jenis penyu lindung undang undang internasional ancam punah penyu ancam punah penyu belimbing kemp s ridley penyu sisik penyu hijau penyu lekang penyu tempayan penyu ancam punah penyu pipih the international union for conservation of nature iucn jenis penyu punah penyu penyu penyu kemp s ridley penyu sisi penyu hijau chelonia mydas penyu lekang lepidochelys olivacea penyu tempayan loggerhead carreta carreta penyu lindung undang undang samping penyu belimbing spesies penyu kemp s ridley penyu sisik klasifikasi ancam punah,['mencermati_teks_bacaan']
bagan organisasi saksama nyata bagan organisasi jabat organisasi dewan pimpin ranting masyarakat cermat duduk sekertaris bendahara tara ketua bawah jabat organisasi dewan duduk anggota sejajar wakil ketua,['bagan']
bagan nyata isi bagan bidang kembang didik teliti koordinasi langsung sekertaris ii bidang usaha langsung bidang publikasi temu ilmiah bidang hubung layan masyarakat tanggung ketua bendahara i bendahara ii tanggung sekertaris i,['pernyataan_yang_sesuai_pada_bagan']
bandung ada lomba bersih kelas rangka sambut ulang xii slogan ilustrasi bijak peduli bersih buang sampah sembarang cermin serampang bersih lingkung tanggung bersih lingkung wujud tindak,['slogan']
abad abad hidup binatang bebas binatang hidup hokum rimba takut liar darat laut udara hidup aman paham daging cilia kulit tubuh ambil makan pakai aneka hias damba indah imbang alam manusia lindung punah baik kalimat atas teks paragraph padu alam semesta riang gembira terbang alam bebas khawatir laut darat aman aman hukum rimba laku,"['paragraf', 'paragraf_padu', 'simpulan', 'simpulan_paragraf']"
